Fiscal Year,Month (abbv),Component,Region,Area of Responsibility,Unique ID,Count of Officers/Agents
2022,NOV,Office of Field Operations,Southern Border,San Diego Field Office,221100079,1
2021,DEC,Office of Field Operations,Southern Border,San Diego Field Office,211200054,1
2021,SEP,Office of Field Operations,Southern Border,Laredo Field Office,210900034,1
2021,AUG,U.S. Border Patrol,Southern Border,El Paso Sector,210800026,1
2024,JUN,U.S. Border Patrol,Southern Border,San Diego Sector,240600043,1
2021,APR,U.S. Border Patrol,Southern Border,El Paso Sector,210400032,1
2023,MAR,Air and Marine Operations,Coastal/Interior,Operations Directorate,230300009,1
2023,SEP,U.S. Border Patrol,Southern Border,Tucson Sector,230900078,1
2023,SEP,U.S. Border Patrol,Southern Border,San Diego Sector,230900063,1
2022,SEP,U.S. Border Patrol,Southern Border,Laredo Sector,220900045,1
2023,MAR,U.S. Border Patrol,Southern Border,El Paso Sector,230300058,1
2023,OCT,U.S. Border Patrol,Southern Border,El Centro Sector,231000045,1
2021,OCT,Air and Marine Operations,Coastal/Interior,Operations Directorate,211000003,1
2022,DEC,U.S. Border Patrol,Southern Border,San Diego Sector,221200001,1
2024,JUN,U.S. Border Patrol,Southern Border,El Paso Sector,240600025,2
2024,JAN,U.S. Border Patrol,Southern Border,Laredo Sector,240100036,2
2021,AUG,Air and Marine Operations,Coastal/Interior,Operations Directorate,210800002,1
2022,JAN,Office of Field Operations,Southern Border,San Diego Field Office,220100093,1
2021,JUN,U.S. Border Patrol,Southern Border,Tucson Sector,210600092,1
2021,JUN,U.S. Border Patrol,Southern Border,San Diego Sector,210600057,3
2024,FEB,U.S. Border Patrol,Southern Border,Yuma Sector,240200105,2
2022,FEB,U.S. Border Patrol,Southern Border,San Diego Sector,220200033,1
2023,NOV,U.S. Border Patrol,Southern Border,Tucson Sector,231100088,1
2021,FEB,U.S. Border Patrol,Southern Border,Tucson Sector,210200056,1
2022,NOV,U.S. Border Patrol,Southern Border,Laredo Sector,221100084,1
2024,FEB,U.S. Border Patrol,Southern Border,Tucson Sector,240200082,1
2021,JUN,U.S. Border Patrol,Southern Border,Del Rio Sector,210600014,1
2023,JAN,U.S. Border Patrol,Southern Border,San Diego Sector,230100052,1
2022,OCT,U.S. Border Patrol,Southern Border,San Diego Sector,221000058,1
2023,SEP,U.S. Border Patrol,Southern Border,El Centro Sector,230900031,1
2022,JUL,U.S. Border Patrol,Southern Border,Tucson Sector,220700071,1
2023,NOV,U.S. Border Patrol,Southern Border,Yuma Sector,231100104,2
2023,MAY,U.S. Border Patrol,Southern Border,San Diego Sector,230500065,1
2023,APR,U.S. Border Patrol,Southern Border,Laredo Sector,230400057,1
2022,JAN,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,220100038,1
2024,DEC,U.S. Border Patrol,Southern Border,San Diego Sector,241200044,2
2022,AUG,U.S. Border Patrol,Southern Border,Del Rio Sector,220800021,1
2022,JAN,U.S. Border Patrol,Southern Border,Tucson Sector,220100068,1
2022,MAR,U.S. Border Patrol,Southern Border,El Centro Sector,220300031,2
2023,FEB,U.S. Border Patrol,Southern Border,Tucson Sector,230200088,1
2024,NOV,U.S. Border Patrol,Southern Border,Tucson Sector,241100059,1
2024,MAY,Office of Field Operations,Southern Border,Laredo Field Office,240500088,1
2024,JUN,U.S. Border Patrol,Southern Border,San Diego Sector,240600038,1
2022,JAN,U.S. Border Patrol,Coastal/Interior,Special Operations Group,220100052,1
2022,APR,U.S. Border Patrol,Southern Border,El Centro Sector,220400025,1
2024,FEB,U.S. Border Patrol,Southern Border,Del Rio Sector,240200019,1
2023,JAN,U.S. Border Patrol,Southern Border,El Paso Sector,230100026,1
2024,FEB,U.S. Border Patrol,Southern Border,Laredo Sector,240200050,1
2023,JUL,U.S. Border Patrol,Southern Border,El Centro Sector,230700017,1
2021,MAY,U.S. Border Patrol,Southern Border,El Centro Sector,210500021,1
2024,FEB,U.S. Border Patrol,Southern Border,San Diego Sector,240200063,3
2024,MAY,U.S. Border Patrol,Southern Border,El Paso Sector,240500040,1
2022,FEB,U.S. Border Patrol,Southern Border,San Diego Sector,220200038,1
2021,DEC,U.S. Border Patrol,Southern Border,Tucson Sector,211200043,1
2023,SEP,U.S. Border Patrol,Southern Border,El Paso Sector,230900039,1
2023,OCT,U.S. Border Patrol,Southern Border,San Diego Sector,231000079,1
2023,AUG,U.S. Border Patrol,Southern Border,El Centro Sector,230800040,2
2023,JAN,U.S. Border Patrol,Southern Border,El Centro Sector,230100024,1
2022,NOV,Air and Marine Operations,Coastal/Interior,Operations Directorate,221100001,1
2021,FEB,U.S. Border Patrol,Southern Border,Del Rio Sector,210200009,1
2023,APR,U.S. Border Patrol,Southern Border,El Paso Sector,230400046,1
2023,OCT,U.S. Border Patrol,Southern Border,Tucson Sector,231000086,1
2022,MAR,U.S. Border Patrol,Southern Border,El Paso Sector,220300041,2
2023,NOV,U.S. Border Patrol,Southern Border,El Paso Sector,231100042,1
2021,APR,U.S. Border Patrol,Southern Border,San Diego Sector,210400059,1
2022,JUL,U.S. Border Patrol,Southern Border,El Paso Sector,220700025,2
2021,JUL,U.S. Border Patrol,Southern Border,Tucson Sector,210700057,1
2023,MAR,U.S. Border Patrol,Southern Border,El Paso Sector,230300042,1
2021,JUN,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,210600055,1
2024,MAR,U.S. Border Patrol,Southern Border,El Centro Sector,240300013,2
2022,APR,U.S. Border Patrol,Southern Border,Laredo Sector,220400057,1
2023,JAN,Office of Field Operations,Southern Border,San Diego Field Office,230100098,1
2024,APR,U.S. Border Patrol,Southern Border,Tucson Sector,240400069,2
2024,APR,U.S. Border Patrol,Southern Border,Del Rio Sector,240400011,1
2022,APR,U.S. Border Patrol,Southern Border,San Diego Sector,220400009,1
2023,JUN,U.S. Border Patrol,Southern Border,El Paso Sector,230600023,1
2022,JAN,U.S. Border Patrol,Southern Border,Tucson Sector,220100084,1
2021,MAY,U.S. Border Patrol,Southern Border,El Centro Sector,210500020,2
2021,JUL,Air and Marine Operations,Coastal/Interior,Operations Directorate,210700002,1
2023,FEB,U.S. Border Patrol,Southern Border,El Paso Sector,230200033,1
2023,NOV,Office of Field Operations,Southern Border,Laredo Field Office,231100110,1
2022,JAN,U.S. Border Patrol,Southern Border,El Centro Sector,220100020,1
2021,FEB,U.S. Border Patrol,Southern Border,San Diego Sector,210200051,1
2023,SEP,Air and Marine Operations,Coastal/Interior,Operations Directorate,230900010,1
2021,NOV,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,211100040,1
2023,JUL,Office of Field Operations,Southern Border,Laredo Field Office,230700088,1
2022,FEB,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,220200097,1
2022,AUG,U.S. Border Patrol,Southern Border,Yuma Sector,220800099,1
2023,JAN,U.S. Border Patrol,Southern Border,San Diego Sector,230100051,1
2024,MAY,U.S. Border Patrol,Southern Border,El Paso Sector,240500034,1
2021,DEC,U.S. Border Patrol,Southern Border,Tucson Sector,211200041,1
2022,DEC,U.S. Border Patrol,Southern Border,Tucson Sector,221200071,1
2024,APR,U.S. Border Patrol,Southern Border,San Diego Sector,240400054,1
2022,AUG,U.S. Border Patrol,Southern Border,Tucson Sector,220800085,1
2022,JAN,U.S. Border Patrol,Southern Border,Tucson Sector,220100065,1
2024,NOV,U.S. Border Patrol,Southern Border,San Diego Sector,241100045,1
2022,DEC,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,221200046,1
2021,JUN,U.S. Border Patrol,Southern Border,Del Rio Sector,210600008,1
2021,AUG,U.S. Border Patrol,Southern Border,El Centro Sector,210800022,1
2022,OCT,U.S. Border Patrol,Southern Border,San Diego Sector,221000049,1
2022,APR,U.S. Border Patrol,Southern Border,El Centro Sector,220400004,2
2024,JUN,U.S. Border Patrol,Southern Border,Tucson Sector,240600061,2
2024,JAN,U.S. Border Patrol,Southern Border,Laredo Sector,240100034,2
2024,NOV,U.S. Border Patrol,Southern Border,Tucson Sector,241100004,1
2021,AUG,Office of Field Operations,Southern Border,San Diego Field Office,210800093,1
2021,APR,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,210400044,1
2021,AUG,U.S. Border Patrol,Southern Border,El Centro Sector,210800016,1
2024,MAY,U.S. Border Patrol,Southern Border,San Diego Sector,240500060,1
2022,JUN,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,220600089,1
2023,JAN,U.S. Border Patrol,Southern Border,Tucson Sector,230100104,1
2021,OCT,Air and Marine Operations,Coastal/Interior,Operations Directorate,211000002,1
2023,AUG,U.S. Border Patrol,Southern Border,San Diego Sector,230800085,1
2024,SEP,U.S. Border Patrol,Southern Border,Tucson Sector,240900055,1
2022,JUN,U.S. Border Patrol,Southern Border,San Diego Sector,220600005,1
2022,JUL,U.S. Border Patrol,Southern Border,San Diego Sector,220700053,1
2021,MAY,U.S. Border Patrol,Southern Border,Tucson Sector,210500082,1
2021,APR,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,210400045,1
2023,JUL,U.S. Border Patrol,Southern Border,Tucson Sector,230700065,1
2021,APR,U.S. Border Patrol,Northern Border,Blaine Sector,210400004,1
2024,JUL,U.S. Border Patrol,Southern Border,El Centro Sector,240700023,1
2023,NOV,U.S. Border Patrol,Southern Border,Tucson Sector,231100091,2
2021,MAY,U.S. Border Patrol,Southern Border,San Diego Sector,210500059,1
2023,MAR,U.S. Border Patrol,Southern Border,El Paso Sector,230300039,1
2024,JAN,U.S. Border Patrol,Southern Border,El Paso Sector,240100026,1
2022,SEP,U.S. Border Patrol,Southern Border,El Centro Sector,220900030,2
2024,OCT,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,241000047,1
2023,FEB,U.S. Border Patrol,Southern Border,El Paso Sector,230200041,2
2023,FEB,U.S. Border Patrol,Southern Border,El Centro Sector,230200019,1
2023,MAY,U.S. Border Patrol,Southern Border,Tucson Sector,230500095,1
2022,NOV,U.S. Border Patrol,Southern Border,El Centro Sector,221100013,1
2024,SEP,U.S. Border Patrol,Southern Border,Del Rio Sector,240900010,1
2022,MAY,Office of Field Operations,Southern Border,San Diego Field Office,220500108,1
2023,MAR,U.S. Border Patrol,Southern Border,Tucson Sector,230300102,2
2021,MAR,U.S. Border Patrol,Southern Border,San Diego Sector,210300050,1
2022,AUG,U.S. Border Patrol,Southern Border,Yuma Sector,220800100,2
2022,JAN,U.S. Border Patrol,Southern Border,Tucson Sector,220100072,1
2023,AUG,U.S. Border Patrol,Southern Border,El Paso Sector,230800061,1
2023,FEB,U.S. Border Patrol,Southern Border,San Diego Sector,230200074,1
2021,JAN,Office of Field Operations,Southern Border,Laredo Field Office,210100064,1
2023,MAR,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,230300069,1
2021,NOV,U.S. Border Patrol,Southern Border,Laredo Sector,211100027,1
2021,FEB,Office of Field Operations,Southern Border,San Diego Field Office,210200073,1
2024,OCT,U.S. Border Patrol,Southern Border,San Diego Sector,241000058,1
2024,JUL,U.S. Border Patrol,Southern Border,Laredo Sector,240700039,1
2022,JAN,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,220100104,1
2023,MAR,U.S. Border Patrol,Southern Border,El Paso Sector,230300053,1
2024,JUL,U.S. Border Patrol,Southern Border,San Diego Sector,240700044,1
2024,SEP,Office of Field Operations,Northern Border,Buffalo Field Office,240900064,1
2021,DEC,U.S. Border Patrol,Coastal/Interior,Miami Sector,211200024,1
2023,SEP,U.S. Border Patrol,Southern Border,El Centro Sector,230900021,1
2023,APR,U.S. Border Patrol,Southern Border,Laredo Sector,230400055,1
2024,JUL,U.S. Border Patrol,Southern Border,Tucson Sector,240700064,1
2021,NOV,U.S. Border Patrol,Southern Border,El Centro Sector,211100014,2
2023,FEB,U.S. Border Patrol,Northern Border,Detroit Sector,230200017,1
2021,AUG,U.S. Border Patrol,Southern Border,San Diego Sector,210800054,2
2023,OCT,U.S. Border Patrol,Southern Border,El Centro Sector,231000012,1
2023,NOV,U.S. Border Patrol,Southern Border,Tucson Sector,231100075,1
2024,APR,Office of Field Operations,Southern Border,Laredo Field Office,240400076,1
2023,MAY,U.S. Border Patrol,Southern Border,Del Rio Sector,230500013,1
2022,OCT,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,221000041,1
2022,OCT,Office of Field Operations,Southern Border,Laredo Field Office,221000079,1
2022,FEB,Air and Marine Operations,Coastal/Interior,Operations Directorate,220200004,1
2024,JUL,U.S. Border Patrol,Southern Border,Del Rio Sector,240700018,1
2022,JAN,U.S. Border Patrol,Southern Border,San Diego Sector,220100051,1
2023,SEP,U.S. Border Patrol,Southern Border,El Centro Sector,230900028,2
2023,JAN,U.S. Border Patrol,Southern Border,Tucson Sector,230100074,2
2024,AUG,U.S. Border Patrol,Southern Border,Laredo Sector,240800032,1
2022,MAR,U.S. Border Patrol,Southern Border,San Diego Sector,220300055,2
2024,APR,U.S. Border Patrol,Southern Border,Del Rio Sector,240400013,2
2021,MAY,U.S. Border Patrol,Southern Border,Tucson Sector,210500077,1
2022,DEC,Office of Field Operations,Southern Border,San Diego Field Office,221200092,1
2023,AUG,U.S. Border Patrol,Southern Border,Tucson Sector,230800088,1
2022,APR,Office of Field Operations,Northern Border,Buffalo Field Office,220400104,1
2022,MAY,U.S. Border Patrol,Southern Border,Tucson Sector,220500069,1
2021,MAY,U.S. Border Patrol,Southern Border,El Centro Sector,210500018,1
2024,JUL,U.S. Border Patrol,Southern Border,El Paso Sector,240700030,1
2022,SEP,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,220900061,1
2024,MAR,U.S. Border Patrol,Southern Border,El Paso Sector,240300021,1
2024,JAN,U.S. Border Patrol,Southern Border,Tucson Sector,240100051,1
2021,JAN,Air and Marine Operations,Coastal/Interior,Operations Directorate,210100005,1
2024,SEP,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,240900040,1
2023,NOV,U.S. Border Patrol,Southern Border,El Centro Sector,231100024,1
2022,NOV,Office of Field Operations,Southern Border,El Paso Field Office,221100074,1
2021,MAY,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,210500048,1
2023,APR,U.S. Border Patrol,Southern Border,Del Rio Sector,230400019,2
2023,JAN,U.S. Border Patrol,Southern Border,El Paso Sector,230100031,1
2022,SEP,U.S. Border Patrol,Southern Border,Tucson Sector,220900100,1
2023,DEC,U.S. Border Patrol,Southern Border,El Paso Sector,231200030,1
2021,MAR,U.S. Border Patrol,Southern Border,Tucson Sector,210300062,1
2023,JUN,U.S. Border Patrol,Southern Border,El Paso Sector,230600026,1
2024,MAY,U.S. Border Patrol,Southern Border,San Diego Sector,240500064,1
2021,JUN,U.S. Border Patrol,Southern Border,Big Bend Sector,210600072,1
2021,OCT,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,211000041,1
2022,JUN,U.S. Border Patrol,Southern Border,Tucson Sector,220600060,1
2022,AUG,U.S. Border Patrol,Southern Border,Laredo Sector,220800047,1
2023,JUN,U.S. Border Patrol,Southern Border,Del Rio Sector,230600008,1
2024,SEP,Office of Field Operations,Southern Border,San Diego Field Office,240900069,1
2023,JAN,U.S. Border Patrol,Southern Border,San Diego Sector,230100046,1
2023,JAN,U.S. Border Patrol,Southern Border,Del Rio Sector,230100016,1
2023,MAR,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,230300067,1
2023,AUG,Air and Marine Operations,Coastal/Interior,Operations Directorate,230800017,1
2022,JAN,U.S. Border Patrol,Southern Border,San Diego Sector,220100058,1
2021,AUG,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,210800044,1
2024,JAN,U.S. Border Patrol,Southern Border,Tucson Sector,240100075,1
2021,APR,U.S. Border Patrol,Coastal/Interior,Special Operations Group,210400063,1
2022,JUL,Office of Field Operations,Southern Border,San Diego Field Office,220700106,1
2023,APR,U.S. Border Patrol,Southern Border,San Diego Sector,230400070,1
2024,FEB,U.S. Border Patrol,Southern Border,El Paso Sector,240200037,1
2022,JUL,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,220700043,2
2023,MAR,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,230300071,1
2022,MAY,U.S. Border Patrol,Southern Border,San Diego Sector,220500059,1
2024,AUG,Office of Field Operations,Southern Border,Laredo Field Office,240800062,1
2024,MAR,U.S. Border Patrol,Southern Border,Tucson Sector,240300055,2
2022,MAY,Office of Field Operations,Southern Border,El Paso Field Office,220500097,2
2023,DEC,U.S. Border Patrol,Southern Border,San Diego Sector,231200005,1
2022,JUL,U.S. Border Patrol,Southern Border,Tucson Sector,220700075,1
2022,JUN,U.S. Border Patrol,Southern Border,El Centro Sector,220600020,2
2022,JAN,U.S. Border Patrol,Southern Border,El Centro Sector,220100018,1
2022,MAY,U.S. Border Patrol,Southern Border,El Paso Sector,220500026,1
2021,APR,U.S. Border Patrol,Southern Border,Tucson Sector,210400065,2
2023,JAN,U.S. Border Patrol,Southern Border,Yuma Sector,230100086,2
2022,JUL,U.S. Border Patrol,Southern Border,Tucson Sector,220700070,4
2023,FEB,U.S. Border Patrol,Southern Border,El Paso Sector,230200028,3
2024,JUL,U.S. Border Patrol,Southern Border,El Paso Sector,240700029,1
2023,OCT,U.S. Border Patrol,Southern Border,El Paso Sector,231000015,3
2024,FEB,U.S. Border Patrol,Southern Border,El Centro Sector,240200025,2
2023,JUN,U.S. Border Patrol,Southern Border,El Centro Sector,230600016,1
2024,SEP,U.S. Border Patrol,Southern Border,Tucson Sector,240900060,1
2024,JUN,Office of Field Operations,Southern Border,Laredo Field Office,240600073,1
2024,SEP,U.S. Border Patrol,Southern Border,Tucson Sector,240900056,1
2022,OCT,Office of Field Operations,Southern Border,San Diego Field Office,221000081,2
2022,JAN,Air and Marine Operations,Coastal/Interior,Operations Directorate,220100012,1
2021,AUG,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,210800047,1
2024,DEC,U.S. Border Patrol,Southern Border,El Paso Sector,241200036,1
2023,APR,U.S. Border Patrol,Southern Border,El Paso Sector,230400039,1
2021,DEC,U.S. Border Patrol,Southern Border,El Paso Sector,211200013,1
2024,JUN,U.S. Border Patrol,Southern Border,San Diego Sector,240600040,1
2022,SEP,U.S. Border Patrol,Southern Border,San Diego Sector,220900073,1
2022,SEP,U.S. Border Patrol,Southern Border,San Diego Sector,220900080,1
2021,NOV,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,211100038,1
2024,JUL,U.S. Border Patrol,Southern Border,San Diego Sector,240700046,1
2021,MAR,Office of Field Operations,Southern Border,Laredo Field Office,210300070,1
2021,NOV,U.S. Border Patrol,Southern Border,Laredo Sector,211100030,1
2022,OCT,U.S. Border Patrol,Southern Border,El Centro Sector,221000018,2
2021,DEC,U.S. Border Patrol,Southern Border,San Diego Sector,211200037,1
2023,AUG,U.S. Border Patrol,Coastal/Interior,Miami Sector,230800066,2
2021,JUN,U.S. Border Patrol,Southern Border,El Paso Sector,210600034,1
2022,MAR,U.S. Border Patrol,Southern Border,El Centro Sector,220300030,2
2022,AUG,U.S. Border Patrol,Southern Border,Tucson Sector,220800083,1
2024,JUL,U.S. Border Patrol,Southern Border,Laredo Sector,240700038,2
2023,NOV,U.S. Border Patrol,Southern Border,El Paso Sector,231100036,1
2024,FEB,U.S. Border Patrol,Southern Border,San Diego Sector,240200065,1
2023,MAY,U.S. Border Patrol,Southern Border,El Paso Sector,230500049,1
2024,DEC,U.S. Border Patrol,Southern Border,El Paso Sector,241200038,1
2023,JUN,U.S. Border Patrol,Southern Border,San Diego Sector,230600057,2
2023,FEB,U.S. Border Patrol,Southern Border,Yuma Sector,230200114,1
2023,JAN,U.S. Border Patrol,Southern Border,Tucson Sector,230100067,2
2023,JAN,U.S. Border Patrol,Southern Border,Tucson Sector,230100082,1
2022,MAR,U.S. Border Patrol,Southern Border,El Paso Sector,220300034,2
2021,DEC,U.S. Border Patrol,Southern Border,Tucson Sector,211200045,1
2022,FEB,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,220200024,1
2021,FEB,U.S. Border Patrol,Southern Border,Tucson Sector,210200054,1
2021,APR,U.S. Border Patrol,Southern Border,San Diego Sector,210400052,1
2023,DEC,Office of Field Operations,Northern Border,Buffalo Field Office,231200093,1
2021,MAY,U.S. Border Patrol,Southern Border,Del Rio Sector,210500009,1
2023,FEB,U.S. Border Patrol,Southern Border,Del Rio Sector,230200016,1
2023,NOV,U.S. Border Patrol,Southern Border,San Diego Sector,231100063,1
2024,DEC,U.S. Border Patrol,Southern Border,El Paso Sector,241200030,1
2021,MAY,U.S. Border Patrol,Southern Border,Del Rio Sector,210500006,1
2021,FEB,U.S. Border Patrol,Southern Border,El Paso Sector,210200020,1
2021,NOV,Office of Field Operations,Southern Border,Laredo Field Office,211100080,2
2021,SEP,U.S. Border Patrol,Southern Border,Tucson Sector,210900065,2
2022,DEC,Office of Field Operations,Southern Border,Laredo Field Office,221200006,1
2024,MAR,U.S. Border Patrol,Southern Border,San Diego Sector,240300040,1
2023,MAY,U.S. Border Patrol,Southern Border,Tucson Sector,230500093,1
2024,MAY,U.S. Border Patrol,Southern Border,Tucson Sector,240500079,1
2023,MAY,Office of Field Operations,Southern Border,San Diego Field Office,230500104,1
2021,MAY,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,210500057,1
2024,MAY,U.S. Border Patrol,Southern Border,San Diego Sector,240500058,3
2023,MAR,U.S. Border Patrol,Southern Border,San Diego Sector,230300086,1
2021,APR,Office of Field Operations,Southern Border,Laredo Field Office,210400087,1
2021,DEC,Office of Field Operations,Southern Border,San Diego Field Office,211200055,1
2023,APR,U.S. Border Patrol,Southern Border,Tucson Sector,230400082,1
2021,OCT,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,211000038,1
2021,JAN,U.S. Border Patrol,Coastal/Interior,Special Operations Group,210100055,2
2022,AUG,U.S. Border Patrol,Southern Border,El Centro Sector,220800034,1
2023,OCT,U.S. Border Patrol,Northern Border,Swanton Sector,231000027,1
2024,MAR,U.S. Border Patrol,Southern Border,Laredo Sector,240300027,1
2022,AUG,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,220800057,1
2022,FEB,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,220200022,1
2022,OCT,U.S. Border Patrol,Southern Border,El Centro Sector,221000014,1
2023,JUL,U.S. Border Patrol,Southern Border,San Diego Sector,230700052,1
2022,MAY,U.S. Border Patrol,Southern Border,San Diego Sector,220500054,3
2021,MAR,U.S. Border Patrol,Southern Border,Big Bend Sector,210300057,1
2024,OCT,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,241000049,1
2021,NOV,U.S. Border Patrol,Southern Border,Del Rio Sector,211100006,2
2023,JUL,U.S. Border Patrol,Southern Border,San Diego Sector,230700049,1
2021,AUG,U.S. Border Patrol,Southern Border,San Diego Sector,210800057,1
2024,APR,U.S. Border Patrol,Southern Border,El Paso Sector,240400028,1
2023,NOV,U.S. Border Patrol,Southern Border,Tucson Sector,231100076,1
2023,OCT,U.S. Border Patrol,Southern Border,Tucson Sector,231000094,1
2024,SEP,U.S. Border Patrol,Southern Border,Laredo Sector,240900033,1
2023,FEB,U.S. Border Patrol,Southern Border,El Paso Sector,230200025,1
2024,OCT,U.S. Border Patrol,Southern Border,El Centro Sector,241000025,1
2022,FEB,U.S. Border Patrol,Southern Border,Tucson Sector,220200052,2
2024,SEP,U.S. Border Patrol,Southern Border,El Paso Sector,240900027,1
2023,MAY,U.S. Border Patrol,Southern Border,El Paso Sector,230500043,1
2023,APR,U.S. Border Patrol,Southern Border,El Centro Sector,230400024,2
2023,MAR,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,230300079,1
2021,SEP,Office of Field Operations,Southern Border,San Diego Field Office,210900007,1
2024,FEB,U.S. Border Patrol,Southern Border,San Diego Sector,240200072,1
2021,JUL,U.S. Border Patrol,Southern Border,El Centro Sector,210700009,1
2023,DEC,U.S. Border Patrol,Southern Border,Tucson Sector,231200077,1
2023,FEB,Office of Field Operations,Southern Border,Tucson Field Office,230200005,2
2022,NOV,U.S. Border Patrol,Southern Border,El Centro Sector,221100014,1
2021,JUL,U.S. Border Patrol,Southern Border,El Paso Sector,210700023,1
2024,JUN,U.S. Border Patrol,Southern Border,El Paso Sector,240600020,1
2023,FEB,U.S. Border Patrol,Southern Border,Del Rio Sector,230200013,1
2024,JUN,Office of Field Operations,Southern Border,Tucson Field Office,240600079,2
2021,OCT,U.S. Border Patrol,Coastal/Interior,Special Operations Group,211000054,5
2024,FEB,U.S. Border Patrol,Southern Border,Tucson Sector,240200085,2
2022,OCT,U.S. Border Patrol,Southern Border,El Centro Sector,221000015,1
2024,FEB,U.S. Border Patrol,Southern Border,San Diego Sector,240200067,2
2023,FEB,U.S. Border Patrol,Southern Border,San Diego Sector,230200069,1
2021,SEP,U.S. Border Patrol,Southern Border,Yuma Sector,210900071,3
2023,DEC,U.S. Border Patrol,Southern Border,San Diego Sector,231200060,1
2022,DEC,U.S. Border Patrol,Southern Border,Tucson Sector,221200073,1
2021,NOV,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,211100043,2
2022,JUN,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,220600036,1
2022,MAR,U.S. Border Patrol,Southern Border,El Centro Sector,220300026,2
2023,JAN,U.S. Border Patrol,Southern Border,San Diego Sector,230100047,3
2021,NOV,U.S. Border Patrol,Southern Border,El Centro Sector,211100013,1
2022,JUN,U.S. Border Patrol,Southern Border,San Diego Sector,220600048,1
2021,AUG,U.S. Border Patrol,Southern Border,Tucson Sector,210800069,1
2023,FEB,U.S. Border Patrol,Southern Border,Big Bend Sector,230200009,1
2023,AUG,U.S. Border Patrol,Southern Border,Del Rio Sector,230800032,1
2023,JAN,U.S. Border Patrol,Southern Border,El Centro Sector,230100003,2
2024,FEB,U.S. Border Patrol,Southern Border,El Paso Sector,240200033,1
2023,NOV,U.S. Border Patrol,Southern Border,San Diego Sector,231100056,1
2024,DEC,U.S. Border Patrol,Southern Border,San Diego Sector,241200045,1
2022,MAR,U.S. Border Patrol,Southern Border,El Centro Sector,220300028,1
2023,FEB,U.S. Border Patrol,Southern Border,El Paso Sector,230200115,2
2022,MAR,U.S. Border Patrol,Southern Border,Del Rio Sector,220300019,1
2023,AUG,U.S. Border Patrol,Southern Border,Tucson Sector,230800095,1
2022,MAY,U.S. Border Patrol,Southern Border,San Diego Sector,220500048,1
2021,MAY,U.S. Border Patrol,Southern Border,El Centro Sector,210500019,1
2021,OCT,U.S. Border Patrol,Southern Border,San Diego Sector,211000051,1
2024,JUN,U.S. Border Patrol,Southern Border,Tucson Sector,240600051,1
2021,JUL,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,210700036,1
2024,FEB,U.S. Border Patrol,Southern Border,Tucson Sector,240200084,1
2024,JUL,U.S. Border Patrol,Southern Border,Laredo Sector,240700037,1
2021,JAN,U.S. Border Patrol,Southern Border,Del Rio Sector,210100015,1
2024,OCT,U.S. Border Patrol,Southern Border,San Diego Sector,241000059,1
2023,APR,U.S. Border Patrol,Southern Border,Tucson Sector,230400005,1
2023,JAN,Office of Field Operations,Southern Border,Laredo Field Office,230100094,1
2024,MAY,U.S. Border Patrol,Southern Border,San Diego Sector,240500065,1
2024,MAY,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,240500052,1
2023,MAY,U.S. Border Patrol,Southern Border,El Centro Sector,230500021,1
2021,OCT,U.S. Border Patrol,Southern Border,Rio Grande Valley Sector,211000035,1
2024,JUN,Office of Field Operations,Southern Border,Laredo Field Office,240600070,1
2022,JUL,U.S. Border Patrol,Southern Border,Tucson Sector,220700084,1
2022,AUG,U.S. Border Patrol,Southern Border,Laredo Sector,220800048,1
